sim,variable,eff,eff_low,eff_upp,rmse,occ,set,eff_confint_upp,eff_confint_low
35,Weighted Balanced Acceptance,1746.5579981483102,1641.549794589551,1876.961401852456,0.010555849126774458,0.1579,samplers,1641.549794589551,1876.961401852456
35,Balanced Acceptance,3312.525864157728,3027.3934398827464,3538.5519860983513,0.009714026655176275,0.1579,samplers,3027.3934398827464,3538.5519860983513
35,Balanced Mask,531.2768499319146,491.4083534496855,566.393836621852,0.009893160019581949,0.1579,samplers,491.4083534496855,566.393836621852
36,Uncertainty Sampling,198.57857192964454,185.8943031411407,210.85925031391682,0.012969090899731918,0.2899,samplers,185.8943031411407,210.85925031391682
36,Weighted Balanced Acceptance,407.9957906715782,379.6499548179324,430.63560045646733,0.014322128637435502,0.2899,samplers,379.6499548179324,430.63560045646733
36,Balanced Acceptance,712.8796860802311,670.0192627400498,767.6393785496907,0.010304112924161555,0.2899,samplers,670.0192627400498,767.6393785496907
36,Balanced Mask,192.7091100015489,178.60456876543526,207.09736615773812,0.01489248374024299,0.2899,samplers,178.60456876543526,207.09736615773812
37,Uncertainty Sampling,1325.2742115881656,1223.3725001637433,1441.4186338195739,0.01082256608493405,0.1472,samplers,1223.3725001637433,1441.4186338195739
37,Weighted Balanced Acceptance,4795.835815896868,4313.447213587398,5268.561704572302,0.010722608461541678,0.1472,samplers,4313.447213587398,5268.561704572302
37,Balanced Acceptance,9059.47896836303,8148.2323025129035,10652.853718073322,0.011049740263086916,0.1472,samplers,8148.2323025129035,10652.853718073322
37,Balanced Mask,1223.3725001637433,1131.5672159216695,1327.927677939754,0.021038342750323298,0.1472,samplers,1131.5672159216695,1327.927677939754
38,Uncertainty Sampling,107.03148505068495,100.39542548770186,113.87817590736309,0.007209955967657813,0.4431,samplers,100.39542548770186,113.87817590736309
38,Weighted Balanced Acceptance,159.35953054721278,148.58480122406507,169.5535911099104,0.010118737279857399,0.4431,samplers,148.58480122406507,169.5535911099104
38,Balanced Acceptance,242.54926688834126,228.88027530780596,257.0345862654828,0.00924406110128302,0.4431,samplers,228.88027530780596,257.0345862654828
38,Balanced Mask,102.83430911429056,95.88140305316784,110.07102555260356,0.01141720796722394,0.4431,samplers,95.88140305316784,110.07102555260356
39,Uncertainty Sampling,422.952744522796,399.91613281796504,450.00858409523494,0.028943805241508243,0.5251,samplers,399.91613281796504,450.00858409523494
39,Weighted Balanced Acceptance,536.6168077118871,508.40524684443017,573.2321945765318,0.0269877548814657,0.5251,samplers,508.40524684443017,573.2321945765318
39,Balanced Acceptance,727.2822657254533,687.6699937345705,780.021640750092,0.024772548068150917,0.5251,samplers,687.6699937345705,780.021640750092
39,Balanced Mask,412.09662867510116,391.21319101257455,437.5818867813728,0.029659287450568145,0.5251,samplers,391.21319101257455,437.5818867813728
40,Uncertainty Sampling,465.5735371060913,438.458014002808,498.33715168412647,0.02380473057748748,0.7605,samplers,438.458014002808,498.33715168412647
