sim,set,variable,offset,eff,eff_low,eff_upp,occ
15,ranges,Over-0.45,0.45,8598.56495094539,8530.821468969474,8667.422448741747,0.3835
15,ranges,Over-0.40,0.4,8617.985213396976,8547.00144851393,8665.548971497527,0.3835
15,ranges,Over-0.35,0.35,8608.303479545804,8540.951399773914,8671.162739677544,0.3835
15,ranges,Over-0.30,0.3,8598.56495094539,8518.588566230359,8650.480975014263,0.3835
15,ranges,Over-0.25,0.25,8612.182977320948,8542.970405447995,8663.673270884945,0.3835
15,ranges,Over-0.20,0.2,8614.11932249703,8536.906412507962,8663.673270884945,0.3835
15,ranges,Over-0.15,0.15,8608.303479545804,8542.970405447995,8673.029556648906,0.3835
15,ranges,Over-0.10,0.1,8600.517209774465,8547.00144851393,8656.148202046144,0.3835
15,ranges,Over-0.05,0.05,8602.467190464315,8542.970405447995,8663.673270884945,0.3835
15,ranges,True-0.00,0.0,8608.303479545804,8549.013488966106,8680.47467288718,0.3835
15,ranges,Under-0.05,-0.05,8561.037093264742,8498.012919086159,8619.914762314183,0.3835
15,ranges,Under-0.10,-0.1,8477.201635956359,8409.005095480588,8540.951399773914,0.3835
15,ranges,Under-0.15,-0.15,8367.345604775612,8299.769087149138,8437.005777736274,0.3835
15,ranges,Under-0.20,-0.2,8311.185950256633,8225.226372503053,8376.188979141687,0.3835
15,ranges,Under-0.25,-0.25,8174.90888338136,8098.580385795911,8272.115326522635,0.3835
15,ranges,Under-0.30,-0.3,8075.9590089604935,8006.839175773132,8172.484943521249,0.3835
15,ranges,Under-0.35,-0.35,7967.621110617132,7871.096871881618,8070.903692547453,0.3835
15,ranges,Under-0.40,-0.4,7860.16186680526,7776.80438133158,7983.3787059342085,0.3835
